ID,Use for zillow scrape
15277,"https://www.zillow.com/homes/6222-ROSE-VALLEY-DR-CHARLOTTE,-NC-28216_rb/"
15280,"https://www.zillow.com/homes/5115-CAMILLA-DR-CHARLOTTE,-NC-28216_rb/"
15282,"https://www.zillow.com/homes/629-REYNOLDS-DR-CHARLOTTE,-NC-28220_rb/"
15283,"https://www.zillow.com/homes/7500-LANCER-DR-CHARLOTTE,-NC-28221_rb/"
15284,"https://www.zillow.com/homes/442-BERTONLEY-AV-CHARLOTTE,-NC-28222_rb/"
15308,"https://www.zillow.com/homes/440-GREYSTONE-RD-CHARLOTTE,-NC-28226_rb/"
15311,"https://www.zillow.com/homes/3212-DEXTER-ST-CHARLOTTE,-NC-28226_rb/"
15327,"https://www.zillow.com/homes/347-DOVER-AV-CHARLOTTE,-NC-28226_rb/"
15335,"https://www.zillow.com/homes/2532-LABURNUM-AV-CHARLOTTE,-NC-28226_rb/"
15404,"https://www.zillow.com/homes/6421-WILLOW-RUN-DR-CHARLOTTE,-NC-28226_rb/"
15421,"https://www.zillow.com/homes/1833-COCHRAN-PL-CHARLOTTE,-NC-28226_rb/"
15434,"https://www.zillow.com/homes/3751-STOKES-AV-CHARLOTTE,-NC-28226_rb/"
15490,"https://www.zillow.com/homes/458-LYTTLETON-DR-CHARLOTTE,-NC-28226_rb/"
15510,"https://www.zillow.com/homes/5211-ROUNDING-RUN-RD-CHARLOTTE,-NC-28226_rb/"
15513,"https://www.zillow.com/homes/6316-BOYKIN-SPANIEL-RD-CHARLOTTE,-NC-28226_rb/"
15514,"https://www.zillow.com/homes/6527-BOYKIN-SPANIEL-RD-CHARLOTTE,-NC-28226_rb/"
15526,"https://www.zillow.com/homes/4443-HALSTEAD-DR-CHARLOTTE,-NC-28226_rb/"
15532,"https://www.zillow.com/homes/11113-SIR-FRANCIS-DRAKE-DR-CHARLOTTE,-NC-28226_rb/"
15569,"https://www.zillow.com/homes/8740-SARDIS-RD-CHARLOTTE,-NC-28226_rb/"
15656,"https://www.zillow.com/homes/1439-PINE-TREE-DR-CHARLOTTE,-NC-28226_rb/"
15684,"https://www.zillow.com/homes/2531-MERRYWOOD-RD-CHARLOTTE,-NC-28226_rb/"
15693,"https://www.zillow.com/homes/1815-HALL-AV-CHARLOTTE,-NC-28226_rb/"
15793,"https://www.zillow.com/homes/219-GLEN-OAKS-RD-CHARLOTTE,-NC-28226_rb/"
15819,"https://www.zillow.com/homes/224-WILBY-DR-CHARLOTTE,-NC-28226_rb/"
15831,"https://www.zillow.com/homes/916-RIVER-OAKS-LN-CHARLOTTE,-NC-28226_rb/"
15832,"https://www.zillow.com/homes/10613-KENNEL-LN-CHARLOTTE,-NC-28227_rb/"
15833,"https://www.zillow.com/homes/1215-WOODLAND-DR-CHARLOTTE,-NC-28227_rb/"
15834,"https://www.zillow.com/homes/4208-BRIDGEWOOD-LN-CHARLOTTE,-NC-28227_rb/"
15837,"https://www.zillow.com/homes/6425-FELTON-CT-CHARLOTTE,-NC-28227_rb/"
